name	kind	description	note	buffId
精密	バフ	与ダメとクリダメ上昇
強襲	バフ	命中率とクリ率上昇
幻影	バフ	回避率上昇
見切り	バフ	一つの技につき3個目以降の追撃を無効
連撃強化	バフ	追撃ダメージ上昇
変転	バフ	対象技命中時、有利オーラに変換
乱変転	バフ	対象技をランダムな色のオーラに変換
追撃	バフ	技命中時、追撃
強撃	バフ	攻撃ステータス上昇
覇気	バフ	技命中時、ガッツダメージ上昇
充填	バフ	技命中時、消費ガッツからレベルに応じた分ガッツ回復
狙撃	バフ	すべての技の命中率上昇
急所	バフ	技命中時かつクリティカル時、クリティカルダメージ上昇
必殺	バフ	技命中時、クリティカル率上昇
確撃	バフ	対象技命中時、必ずクリティカル
焦熱	バフ	消費ガッツが増加し、すべての技ステータスが上昇、追撃を付与
増強	バフ	ライフ以外のステータス上昇
昂気	バフ	攻撃ステータスとガッツ回復速度上昇
霊魂	バフ	自身の消費ガッツ減少し、相手の消費ガッツ増加	最大Lv9まで累積
エーテル	バフ	対象技命中時、エーテルを消費して次のうちどちらかを発動\n・ちから技発動時追撃\n・かしこさ技発動時消費ガッツ減少
業物	バフ	ダメージ・命中率・ガッツダウン・クリティカルの技性能上昇
散華	バフ	自身に次の効果＜15秒＞\n・耐久値＜350＞の【シールド】展開\n・クリティカル率＜+20%＞\n・回避率＜+25%＞	固有効果で、能力によっては散華中にさらなる追加効果が発生する場合があります
衰弱	デバフ	被ダメージ上昇
暗闇	デバフ	命中率減少
疲労	デバフ	相手よりもガッツ回復速度が高い時、ガッツ回復速度減少
追撃封鎖	デバフ	追撃を減少
混乱	デバフ	忠誠度が0になる
虚弱	デバフ	丈夫さとガッツ回復速度減少
乱心	デバフ	技発動時、意味不明の発生確率が上昇し、効果中は被ダメージ増加
火傷	デバフ	技を受けた時、相手の技に対してダメージ上昇と追撃を追加
裂傷	デバフ	被ダメージ上昇
出血	デバフ	一定時間ごとに継続ダメージと被クリティカル率上昇
魅了	デバフ	攻撃ステータスと命中率を減少
傷口	デバフ	被クリティカル率上昇	最大Lv10まで累積
