name	description	tags	abilityId	version
神の呼吸	対象技命中時、次の効果を発動＜1回＞\n・すべての技ダメージと技命中を＜3＞上昇\n・15秒経過ごとに＜1＞減少		
背水Lv4	[終盤]対象技命中時、残りライフが少ないほど攻撃ステータス上昇[最大40%]、さらに残り10秒の時、技ダメージ上昇Lv3		
祝：霊魂Lv8	対象技発動時、自身に[霊魂]を付与またはレベルを8上昇＜1回＞		
テクニックレイズ	対象技発動時、技ステータス上昇Lv1		
テクニックオーバー	対象技発動時、技ステータス上昇Lv2/ガッツ回復Lv4		
祝：霊魂Lv1	対象技発動時、自身に[霊魂]を付与またはレベルを1上昇＜1回＞		
疫：火傷Lv1	対象技命中時、相手に[火傷Lv1＜20秒＞]を付与＜1回＞		
禍炎	対象技命中時、相手に[火傷Lv1＜20秒＞]と[暗闇Lv1＜20秒＞]を付与＜1回＞			
祝：霊魂Lv2	対象技発動時、自身に[霊魂]を付与またはレベルを2上昇＜1回＞			
祝：精密Lv2	対象技発動時、自身に[精密Lv2]を付与＜1回＞			
[獣族]変転	[相手魔族以外]かつ対象技命中時、有利オーラに変換＜1回＞			
ライフ上昇[小]	ライフパラ+20			
かしこさ上昇[小]	かしこさパラ+20			
[中]与ダメ上昇	技が命中したとき中距離の与ダメ上昇Lv3＜10秒＞			
クチヨセ	対象技命中時、ランダムな技ステータス1つを上昇Lv3＜1回＞			
