blood	range	rank	name	aura	skillType	guts	moveTo	damage	accuracy	gutsDown	critical	ability1	ability1Unlock	ability2	ability2Unlock	ability3	ability3Unlock	ability4	ability4Unlock	unique	owners	unlockedBy	note	skillId	version
ゴースト	近	1	ソウルビーム	白	かしこさ	13		E+	A	E	E											トリックン:2			
ゴースト	零	1	ピコピコハンマー	黄	ちから	13		D	E	G	F											スプーキー:2			
ゴースト	中	2	すてきステッキ	無	かしこさ	20		F+	D	G	B	変転：すてきステッキ										チシャ:3			
ゴースト	近	2	びっくり	無	かしこさ	15		E	B	C+	E	変転：びっくり										ゴースト:3			
ゴースト	零	2	体当たり	無	ちから	19		C+	B+	D	D	ウィスプ										トリックン:3			
ゴースト	遠	3	連続カード	黄	かしこさ	23		D+	B	C	A	連撃：連続カード										チシャ:4			
ゴースト	中	3	ドクロビーム	黒	かしこさ	29		C	A	D	B	回避上昇[小]		クリダメ上昇[中]								ゴースト:4			
ゴースト	零	3	大パンチ	無	ちから	29		A+	B	C	B	ビルドアップLv2		ちから上昇[小]								スプーキー:4			
ゴースト	中	4	大きなおとしもの	黄	かしこさ	31		S	B	A	B	破壊：大きなおとしもの		かしこさ上昇[中]		回避上昇[中]	ゴースト:6	レンジブースト	ゴースト:10			ゴースト:5			
ゴースト	零	4	コンビネーション	白	ちから	41		C+	S	C	B	連撃：コンビネーション		ちから上昇[中]		命中上昇[中]	チシャ:6	ガードディクリーズ	チシャ:10			チシャ:5			
ゴースト	遠	5	Woフォーチュン	緑	かしこさ	30		S+	S+	B+	C	運命の輪		リスキーリング		テクニックレイズ	スプーキー:6	テクニックオーバー	スプーキー:10			スプーキー:5			
ゴースト	中	5	運命のコイン	黒	かしこさ	39		S	A+	D	A	連撃：運命のコイン		運命		テクニックレイズ	トリックン:6	テクニックオーバー	トリックン:10			トリックン:5			
ゴースト	中	1	ハトのおとしもの	緑	かしこさ	22		C	E	D	C														
ゴースト	遠	2	カード	黒	かしこさ	19		C	B	D	C	丈夫さ上昇[小]													
ゴースト	遠	4	スリーセブン	赤	かしこさ	37		B	C	E	S+	フィーバー		連撃：スリーセブン											
ゴースト	近	4	びっくりドクロ	黒	かしこさ	31		A	A	A	A	びっくりドクロ・驚		びっくりドクロ・嘆											
ゴースト	零	3	トリックパンチ	白	かしこさ	26	中	B	B	B	D+	マジックパワー								1	トリックン				
ゴースト	遠	2	カード・クラブ	緑	かしこさ	26		D+	B	D	C	丈夫さ上昇[小]		ランダムドロー						1	スプーキー				
ゴースト	零	4	グリンネーション	緑	ちから	46		C+	S+	B	B+	連撃：グリンネーション		ちから上昇[中]						1	スプーキー				
