blood	range	rank	name	aura	skillType	guts	moveTo	damage	accuracy	gutsDown	critical	ability1	ability1Unlock	ability2	ability2Unlock	ability3	ability3Unlock	ability4	ability4Unlock	unique	owners	unlockedBy	note	skillId	version
イルミネ	中	1	ヴェノムエッジ	黒	ちから	17		D	C	G	C	影装・刃		楔								ジェリーヌ:2			
イルミネ	零	1	プラズマ	白	ちから	13		G+	S	G	D	プラズマ										シュシュポップ3:2			
イルミネ	遠	2	エーテルアイス	青	かしこさ	25	零	F	B	B	G	影装・杖		楔								ジェリーヌ:3			
イルミネ	中	2	モーニングスター	赤	ちから	27	零	B	D	G	D	影装・槌		楔								セリアン:3,シャルティア:3			
イルミネ	遠	3	アサルトアロー	黒	ちから	33		B	C+	F	B	影装・弓		楔								イルミネ:4,シャルティア:4			
イルミネ	中	3	アルカナフレア	赤	かしこさ	29		C	D	A	D	影装・笏		楔		命中上昇[中]	ジェリーヌ:6	オーラインパクト	ジェリーヌ:10			ジェリーヌ:4			
イルミネ	近	3	ストレート	黄	ちから	24		C	B+	D	G	影装・拳		楔								セリアン:4			
イルミネ	零	3	アサシンクロウ	黒	ちから	28	中	C	B	C	B	影装・爪		楔								ドリーミィ:4			
イルミネ	遠	4	アルスマグナ	白	ちから	35		B	A	G	D	プラズマ		共振：アルスマグナ		回避上昇[中]	ドリーミィ:6	オーラブースト	ドリーミィ:10			ドリーミィ:5			
イルミネ	中	4	ノクターン	黒	ちから	37		C	A+	A	B	連撃：ノクターン		共振：ノクターン								シュシュポップ3:5			
イルミネ	零	4	ブレードダンス	無	ちから	38	遠	C	A	A	C+	共振：ブレードダンス		連撃：ブレードダンス								イルミネ:5			
イルミネ	遠	5	クリムゾンノヴァ	赤	ちから	43		C+	B	D	C	連撃：クリムゾンノヴァ										シャルティア:5			
イルミネ	中	5	レクイエムエンド	黒	ちから	46		S	C+	C	B+	ジエンド		連撃：レクイエムエンド		テクニックレイズ	イルミネ:6	テクニックオーバー	イルミネ:10			イルミネ:5			
イルミネ	零	5	ミラージュクロウ	青	ちから	45	近	B+	A+	A	B	キシン		連撃：ミラージュクロウ		テクニックレイズ	セリアン:6	テクニックオーバー	セリアン:10			セリアン:5			
イルミネ	遠	1	グレネード	無	ちから	23		C	E	E	C	影装・爆		楔											
イルミネ	近	4	バスターソード	緑	ちから	41		D	B	D	A	共振：バスターソード		連撃：バスターソード											
イルミネ	遠	1	おもちゃの爆弾	白	ちから	23		C	D	E	C	影装・爆		楔						1	ドリーミィ				
イルミネ	近	2	シールドバッシュ・氷	青	ちから	22	零	D	C+	G	C	影装・蒼盾		楔						1	セリアン				
イルミネ	零	3	アサシンクロウ・氷	青	ちから	32	中	B	B	E	B	影装・蒼爪		楔						1	セリアン				
