blood	range	rank	name	aura	skillType	guts	moveTo	damage	accuracy	gutsDown	critical	ability1	ability1Unlock	ability2	ability2Unlock	ability3	ability3Unlock	ability4	ability4Unlock	unique	owners	unlockedBy	note	skillId	version
キジン	近	1	強打	無	ちから	15		E	D	G	G											アストロガール:2,シオン・リゾート:2			
キジン	零	1	殴打	黒	ちから	18		E	C	G	E	ライフ上昇[小]	ラミア:6	アディッショナルダメージ	ラミア:10							ラミア:2			
キジン	遠	2	羅刹	赤	ちから	25		B	E	G	G	命中上昇[小]										ハナヨリダンゴ:3,女型の巨人:3			
キジン	中	2	殴りかかり	無	ちから	20	零	D	C	G	D	ちから上昇[小]										アストロガール:3			
キジン	近	2	雷鳴	黄	かしこさ	27		D	A	C	E	丈夫さ上昇[小]										フラン:3			
キジン	零	2	投げ飛ばし	無	ちから	22	中	D	D	C	E	丈夫さ上昇[小]										キジン:3			
キジン	遠	3	大焦熱	赤	かしこさ	32		C	B	D	F	大焦熱		冥怪力・遠								ラミア:4			
キジン	近	3	阿修羅	赤	ちから	35		C+	A	F	B	冥怪力・近		連撃：阿修羅								キジン:4			
キジン	零	3	金棒	黄	ちから	26	遠	B	C+	G	B	冥怪力・零		[全距離]クリ上昇								ハナヨリダンゴ:4,女型の巨人:4,フラン:4			
キジン	遠	4	羅生門	黄	ちから	38		S	E	G	B	冥怪力・遠		シールド[小]：羅生門		回避上昇[中]	キジン:6	オーラブースト	キジン:10			キジン:5			
キジン	中	4	不動明王	青	ちから	27		A+	B	D	A	恵：ブロックLv6		冥怪力・中								シオン・リゾート:5			
キジン	零	4	天網恢恢	赤	ちから	30	遠	A	S+	G	D	冥怪力・零		[全距離]与ダメ上昇		命中上昇[中]	ハナヨリダンゴ:6	ガードディクリーズ	ハナヨリダンゴ:10			ハナヨリダンゴ:5			
キジン	遠	5	帝釈崩天	白	ちから	45		B+	B+	A	B	鬼撃：帝釈崩天		連撃：帝釈崩天		テクニックレイズ	アストロガール:6	テクニックオーバー	アストロガール:10			アストロガール:5			
キジン	中	5	倶利伽羅剣	黄	ちから	40		S+	C	A	D	連撃：倶利伽羅剣		冥怪力・中								女型の巨人:5			
キジン	近	5	阿鼻地獄	緑	ちから	37		B+	B	G	A+	連撃：阿鼻地獄		阿鼻叫喚		テクニックレイズ	フラン:6	テクニックオーバー	フラン:10			フラン:5			
キジン	零	5	天地返し	黒	ちから	45	遠	S	E	G	S	天地返し										シオン・リゾート:5			
キジン	中	1	威圧	無	ちから	13	遠	E	E	E	E												血統技図鑑に未掲載（技登録不可）		
キジン	零	2	回し蹴り	無	ちから	20		D+	D	G	E+	丈夫さ上昇[小]								1	女型の巨人				
キジン	近	2	硬質化パンチ	青	ちから	24	中	C	C	E	C	丈夫さ上昇[小]								1	女型の巨人				
キジン	中	3	硬質化キック	緑	ちから	30		C	C	F	S	丈夫さ上昇[中]		クリダメ上昇[中]						1	女型の巨人				
キジン	遠	4	ウォール	緑	ちから	36		S	B	G	C	シールド[小]：ウォール		[相手大]被ダメ低下						1	女型の巨人				
キジン	遠	3	闘魔解放	無	ちから	24		C	B	B	G	闘魔解放								1	シオン・リゾート				
キジン	近	4	断頭鬼刃	黒	ちから	50		S+	B	G	S	一刀両断		魂喰い		ライフ上昇[中]	シオン・リゾート:6	フィールドブースト	シオン・リゾート:10	1	シオン・リゾート				
キジン	中	1	ネビュラ	白	ちから	16	遠	E	B	C	G	ネビュラ								1	アストロガール				
